id_decil_renta,id_regimen_tenencia_decil_renta,Anyo,Valor
9,7,2017,5.5
9,7,2016,5.2
9,7,2015,6.7
9,7,2014,3.0
9,7,2013,6.1
9,7,2012,5.2
9,7,2011,7.8
9,7,2010,7.6
9,7,2009,6.9
9,7,2008,4.9
10,7,2024,4.0
10,7,2023,3.9
10,7,2022,2.9
10,7,2021,4.2
10,7,2020,3.5
10,7,2019,3.7
10,7,2018,4.3
10,7,2017,4.1
10,7,2016,4.8
10,7,2015,2.5
10,7,2014,3.4
10,7,2013,3.2
10,7,2012,4.3
10,7,2011,3.5
10,7,2010,4.9
10,7,2009,4.2
10,7,2008,3.8
